City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Greenville_Spartanburg_Anderson__SC_MSA SC 904729 8.9 281.8 6.3 13.3 0.8 17.9 1 13.3 7.5 20.9 350.4 18639 12.7 4.3 3411 7778.4 42.8
Harrisburg_Lebanon_Carlisle__PA_MSA PA 615025 4.6 308.9 6.2 14.3 1.5 7.6 2.2 12.8 7.6 12.7 416.3 22289 8.9 3.4 7678 12048.3 31.5
Hartford__CT_NECMA CT 1105174 -1.6 729.5 6.7 14.1 2.2 9.4 8.1 14.1 9.3 9.7 351.2 26842 9.7 6.1 5086 17689.3 17
Hattiesburg__MS_MSA MS 109584 11 113.7 7.5 11.3 0.7 26.2 0.9 15.5 16.2 29.8 438.7 15842 22.9 4 3792 7757.5 6
Hickory_Morganton_Lenoir__NC_MSA NC 318368 8.9 194.3 6.5 12.7 0.9 7.7 1 13.4 9.5 20.4 348.9 19175 10.5 4 3093 9197.2 34.1
Honolulu__HI_MSA HI 869857 4 1449.3 7.6 12.6 64.3 3.8 7.3 17 6.7 8.2 241.1 25329 8.9 5.3 7281 13070.9 30.2
Houma__LA_MSA LA 191227 4.6 81.7 8 9.3 1 16 1.7 15.7 10.2 25.8 291.9 15132 21.9 4.6 3569 8984.1 23.6
Houston_Galveston_Brazoria__TX_CMSA TX 4320041 15.8 560.6 8.5 7.4 4.8 18.3 23.6 17.8 8 16.7 226.5 22651 17.8 5.5 3533 8460.4 30.4
Huntington_Ashland__WV_KY_OH_MSA WV 315204 0.9 145.9 5.7 14.5 0.4 2.2 0.5 12.6 6.3 22.6 467.3 16921 21.3 7.1 4808 7622.4 5.6
Huntsville__AL_MSA AL 332993 13.6 242.5 7.2 9.5 1.8 19.8 1.5 14.5 9 19.5 309.8 21139 13.2 3.5 10511 10063.9 29.6
Indianapolis__IN_MSA IN 1503468 8.9 426.7 7.4 11.3 1 13.6 1.1 15.8 8.5 12.4 335.1 23168 11.8 3.2 4388 9660.1 50.5
Iowa_City__IA_MSA IA 102318 6.4 166.5 6 7.4 5 2.4 2.3 12.8 10.1 8.2 176.4 21546 9.7 2.9 4329 11098.7 60.1
Jackson__MI_MSA MI 155346 3.7 219.8 6.7 13.1 0.6 8.4 1.8 13.5 7.8 18.5 363.4 18573 14.2 5.1 3358 5366.1 26.9
Jackson__MS_MSA MS 425383 7.6 180 7.6 10.2 0.6 43.3 0.6 16.1 8.9 21.5 342.5 19135 22.3 3.6 5535 10054.2 37.9
Jackson__TN_MSA TN 99319 9.4 117.5 6.9 13.8 0.4 29.5 0.6 13.7 11.4 16.1 442.3 18343 18.7 4.9 3820 10445.1 48.8
Jacksonville__FL_MSA FL 1034604 14.1 392.5 7.8 11.1 2.5 22.1 3.3 15.4 7.2 16.7 308.6 20936 14 3.6 5573 8185.2 56.8
Jacksonville__NC_MSA NC 143013 -4.6 186.5 9.7 4.7 3.1 19.7 8.1 21.8 10.1 18 135.6 13550 16.4 4.1 10169 3236.8 32.2
Jamestown__NY_MSA NY 140015 -1.3 131.8 7 16.3 0.5 2.2 3.7 12.4 6.8 21.1 481 17419 17.1 5.2 4265 6701.4 12.6
Janesville_Beloit__WI_MSA WI 150332 7.8 208.6 6.8 12.6 0.9 5.9 1.6 13.8 6.9 9.8 367.1 20483 11 3.8 3105 8227.8 38.9
Johnson_City_Kingsport_Bristol__TN_VA_MSA TN 460147 5.5 160.6 5.7 14.9 0.4 2.2 0.6 11.6 5.2 21.4 437.9 17261 17 4.9 4299 9547.2 23.3
Johnstown__PA_MSA PA 237674 -1.5 134.8 5.4 18.7 0.3 1.9 0.7 10.7 5 17.4 527.1 17466 14.8 7.9 5217 11950.4 12.6
Jonesboro__AR_MSA AR 76932 11.6 108.2 7 11.9 0.7 6.1 1.1 14.6 8.4 22.5 392.9 16472 16.8 4.1 3706 12976.4 49.4
Joplin__MO_MSA MO 147127 9.1 116.2 6.5 15.3 0.7 1.1 1 14.6 10.1 21.8 456.2 17806 16.2 4.3 4535 8569.5 26.6
Kalamazoo_Battle_Creek__MI_MSA MI 446699 4 237.4 6.9 12.4 1.4 9.9 2.4 14.2 5.4 17.4 345.8 20706 15.1 4.4 3843 6693.3 26.9
